phi1,phi2,phi3,theta1,theta2,theta3,result
274,54,171,178,94,229,8.872957578851683
274,54,171,178,94,234,9.551835981137105
269,54,171,178,94,234,10.01001051568559
269,59,171,178,94,234,10.429156146313916
269,64,171,178,94,234,10.858320448646541
269,69,171,178,94,234,11.291190332564664
269,74,171,178,94,234,11.721381341656002
269,79,171,178,94,234,12.142560612318391
264,79,171,178,94,234,12.552934561395936
264,84,171,178,94,234,12.958942788308033
264,89,171,178,94,234,13.343912847317815
264,94,171,178,94,234,13.702382791174674
259,94,171,178,94,234,14.057052707775807
259,99,171,178,94,234,14.384070958506278
254,99,171,178,94,234,14.676206207068994
254,104,171,178,94,234,14.96742691908203
254,109,171,178,94,234,15.219193676392962
254,109,176,178,94,234,15.447436126972974
249,109,176,178,94,234,15.671410435506477
249,114,176,178,94,234,15.880826671143573
249,119,176,178,94,234,16.04581145252042
244,119,176,178,94,234,16.19731126973312
244,124,176,178,94,234,16.316639375608798
239,124,176,178,94,234,16.392746946171993
239,129,176,178,94,234,16.46607246335152
239,129,181,178,94,234,16.51996531200723
239,134,181,178,94,234,16.54782829733026
239,134,181,178,89,234,16.568846734868572
239,134,181,178,84,234,16.609981876103276
239,134,181,178,79,234,16.673002360452642
239,134,181,178,74,234,16.75925533457232
239,134,181,178,69,234,16.86964050747695
239,134,181,178,64,234,17.004592822923428
239,134,181,178,59,234,17.164074082770625
239,134,181,178,54,234,17.347573682642572
239,134,181,178,49,234,17.554118445726672
239,134,181,178,44,234,17.782291365316688
239,134,181,178,39,234,18.030258895135184
239,134,181,178,34,234,18.295806261847602
239,134,181,178,29,234,18.57638011967936
239,134,181,178,24,234,18.869137725645103
239,134,181,178,19,234,19.171001688317688
239,134,181,178,14,234,19.47871923572299
239,134,181,178,9,234,19.78892486091231
239,134,181,178,4,234,20.0982051387127
239,134,181,178,0,234,20.3426789901445
239,129,181,178,0,234,20.535922362277844
239,124,181,178,0,234,20.634011597967355
239,119,181,178,0,234,20.635816345688184
239,119,181,178,0,234,20.635816345688184
239,119,181,178,0,234,20.635816345688184
